日付,心拍数
2023-11-30 23:10,86
2023-11-30 23:12,86
2023-11-30 23:14,85
2023-11-30 23:16,88
2023-11-30 23:18,89
2023-11-30 23:20,102
2023-11-30 23:22,92
2023-11-30 23:24,89
2023-11-30 23:26,119
2023-11-30 23:28,139
2023-11-30 23:30,103
2023-11-30 23:32,90
2023-11-30 23:34,85
2023-11-30 23:36,84
2023-11-30 23:38,92
2023-11-30 23:40,93
2023-11-30 23:42,92
2023-11-30 23:44,93
2023-11-30 23:46,90
2023-11-30 23:48,90
2023-11-30 23:50,92
2023-11-30 23:52,93
2023-11-30 23:54,104
2023-11-30 23:56,106
2023-11-30 23:58,116
2023-12-01 00:00,123
2023-12-01 00:02,126
2023-12-01 00:04,113
