Date,Time,Minute,Sleep
2023-11-30,13:16:00.0,16,Sleep Movement
2023-11-30,13:17:00.0,17,Sleep Movement
2023-11-30,13:18:00.0,18,Sleep Movement
2023-11-30,13:19:00.0,19,Sleep Movement
2023-11-30,13:20:00.0,20,Sleep Movement
2023-11-30,13:21:00.0,21,Sleep Movement
2023-11-30,13:22:00.0,22,Sleep Movement
2023-11-30,13:23:00.0,23,Sleep Movement
2023-11-30,13:24:00.0,24,Sleep Movement
2023-11-30,13:25:00.0,25,Sleep Movement
2023-11-30,13:26:00.0,26,Sleep Movement
2023-11-30,13:27:00.0,27,Sleep Movement
2023-11-30,13:28:00.0,28,Sleep Movement
2023-11-30,13:29:00.0,29,Sleep Movement
2023-11-30,13:30:00.0,30,Sleep Movement
2023-11-30,13:31:00.0,31,Sleep Movement
2023-11-30,13:32:00.0,32,Sleep Movement
2023-11-30,13:33:00.0,33,Sleep Movement
2023-11-30,13:34:00.0,34,Sleep Movement
2023-11-30,13:35:00.0,35,Sleep Movement
2023-11-30,13:36:00.0,36,Sleep Movement
2023-11-30,13:37:00.0,37,Sleep Movement
2023-11-30,13:38:00.0,38,Sleep Movement
2023-11-30,13:39:00.0,39,Sleep Movement
2023-11-30,13:40:00.0,40,Sleep Movement
2023-11-30,13:41:00.0,41,Sleep Movement
2023-11-30,13:42:00.0,42,Sleep Movement
2023-11-30,13:43:00.0,43,Sleep Movement
2023-11-30,13:44:00.0,44,Sleep Movement
2023-11-30,13:45:00.0,45,Sleep Movement
2023-11-30,13:46:00.0,46,Sleep Movement
2023-11-30,13:47:00.0,47,Sleep Movement
2023-11-30,13:48:00.0,48,Sleep Movement
2023-11-30,13:49:00.0,49,Sleep Movement
2023-11-30,13:50:00.0,50,Sleep Movement
2023-11-30,13:51:00.0,51,Sleep Movement
2023-11-30,13:52:00.0,52,Sleep Movement
2023-11-30,13:53:00.0,53,Sleep Movement
2023-11-30,13:54:00.0,54,Sleep Movement
2023-11-30,13:55:00.0,55,Sleep Movement
2023-11-30,13:56:00.0,56,Sleep Movement
2023-11-30,13:57:00.0,57,Sleep Movement
2023-11-30,13:58:00.0,58,Sleep Movement
2023-11-30,13:59:00.0,59,Sleep Movement
2023-11-30,14:00:00.0,00,Sleep Movement
2023-11-30,14:01:00.0,01,Sleep Movement
2023-11-30,14:02:00.0,02,Sleep Movement
2023-11-30,14:03:00.0,03,Sleep Movement
2023-11-30,14:04:00.0,04,Sleep Movement
2023-11-30,14:05:00.0,05,Sleep Movement
2023-11-30,14:06:00.0,06,Sleep Movement
2023-11-30,14:07:00.0,07,Sleep Movement
2023-11-30,14:08:00.0,08,Sleep Movement
2023-11-30,14:09:00.0,09,Sleep Movement
2023-11-30,14:10:00.0,10,Sleep Movement
2023-11-30,14:11:00.0,11,Sleep Movement
2023-11-30,14:12:00.0,12,Sleep Movement
2023-11-30,14:13:00.0,13,Sleep Movement
2023-11-30,14:14:00.0,14,Sleep Movement
2023-11-30,14:15:00.0,15,Sleep Movement
2023-11-30,14:16:00.0,16,Sleep Movement
2023-11-30,14:17:00.0,17,Sleep Movement
2023-11-30,14:18:00.0,18,Sleep Movement
2023-11-30,14:19:00.0,19,Sleep Movement
2023-11-30,14:20:00.0,20,Sleep Movement
2023-11-30,14:21:00.0,21,Sleep Movement
2023-11-30,14:22:00.0,22,Sleep Movement
2023-11-30,14:23:00.0,23,Sleep Movement
2023-11-30,14:24:00.0,24,Sleep Movement
2023-11-30,14:25:00.0,25,Sleep Movement
2023-11-30,14:26:00.0,26,Sleep Movement
2023-11-30,14:27:00.0,27,Sleep Movement
2023-11-30,14:28:00.0,28,Sleep Movement
2023-11-30,14:29:00.0,29,Sleep Movement
2023-11-30,14:30:00.0,30,Sleep Movement
2023-11-30,14:31:00.0,31,Sleep Movement
2023-11-30,14:32:00.0,32,Sleep Movement
2023-11-30,14:33:00.0,33,Sleep Movement
2023-11-30,14:34:00.0,34,Sleep Movement
2023-11-30,14:35:00.0,35,Sleep Movement
2023-11-30,14:36:00.0,36,Sleep Movement
2023-11-30,14:37:00.0,37,Sleep Movement
2023-11-30,14:38:00.0,38,Sleep Movement
2023-11-30,14:39:00.0,39,Sleep Movement
2023-11-30,14:40:00.0,40,Sleep Movement
2023-11-30,14:41:00.0,41,Sleep Movement
2023-11-30,14:42:00.0,42,Sleep Movement
2023-11-30,14:43:00.0,43,Sleep Movement
2023-11-30,14:44:00.0,44,Sleep Movement
2023-11-30,14:45:00.0,45,Sleep Movement
2023-11-30,14:46:00.0,46,Sleep Movement
2023-11-30,14:47:00.0,47,Sleep Movement
2023-11-30,14:48:00.0,48,Sleep Movement
2023-11-30,14:49:00.0,49,Sleep Movement
2023-11-30,14:50:00.0,50,Sleep Movement
2023-11-30,14:51:00.0,51,Sleep Movement
2023-11-30,14:52:00.0,52,Sleep Movement
2023-11-30,14:53:00.0,53,Sleep Movement
2023-11-30,14:54:00.0,54,Sleep Movement
2023-11-30,14:55:00.0,55,Sleep Movement
2023-11-30,14:56:00.0,56,Sleep Movement
2023-11-30,14:57:00.0,57,Sleep Movement
2023-11-30,14:58:00.0,58,Sleep Movement
2023-11-30,14:59:00.0,59,Sleep Movement
2023-11-30,15:00:00.0,00,Sleep Movement
2023-11-30,15:01:00.0,01,Sleep Movement
2023-11-30,15:02:00.0,02,Sleep Movement
2023-11-30,15:03:00.0,03,Sleep Movement
2023-11-30,15:04:00.0,04,Sleep Movement
2023-11-30,15:05:00.0,05,Sleep Movement
2023-11-30,15:06:00.0,06,Sleep Movement
2023-11-30,15:07:00.0,07,Sleep Movement
2023-11-30,15:08:00.0,08,Sleep Movement
2023-11-30,15:09:00.0,09,Sleep Movement
2023-11-30,15:10:00.0,10,Sleep Movement
2023-11-30,15:11:00.0,11,Sleep Movement
2023-11-30,15:12:00.0,12,Sleep Movement
2023-11-30,15:13:00.0,13,Sleep Movement
2023-11-30,15:14:00.0,14,Sleep Movement
2023-11-30,15:15:00.0,15,Sleep Movement
2023-11-30,15:16:00.0,16,Sleep Movement
2023-11-30,15:17:00.0,17,Sleep Movement
2023-11-30,15:18:00.0,18,Sleep Movement
2023-11-30,15:19:00.0,19,Sleep Movement
2023-11-30,15:20:00.0,20,Sleep Movement
2023-11-30,15:21:00.0,21,Sleep Movement
2023-11-30,15:22:00.0,22,Sleep Movement
2023-11-30,15:23:00.0,23,Sleep Movement
2023-11-30,15:24:00.0,24,Sleep Movement
2023-11-30,15:25:00.0,25,Sleep Movement
2023-11-30,15:26:00.0,26,Sleep Movement
2023-11-30,15:27:00.0,27,Sleep Movement
2023-11-30,15:28:00.0,28,Sleep Movement
2023-11-30,15:29:00.0,29,Sleep Movement
2023-11-30,15:30:00.0,30,Sleep Movement
2023-11-30,15:31:00.0,31,Sleep Movement
2023-11-30,15:32:00.0,32,Sleep Movement
2023-11-30,15:33:00.0,33,Sleep Movement
2023-11-30,15:34:00.0,34,Sleep Movement
2023-11-30,15:35:00.0,35,Sleep Movement
2023-11-30,15:36:00.0,36,Sleep Movement
2023-11-30,15:37:00.0,37,Sleep Movement
2023-11-30,15:38:00.0,38,Sleep Movement
2023-11-30,15:39:00.0,39,Sleep Movement
2023-11-30,15:40:00.0,40,Sleep Movement
2023-11-30,15:41:00.0,41,Sleep Movement
2023-11-30,15:42:00.0,42,Sleep Movement
2023-11-30,15:43:00.0,43,Sleep Movement
2023-11-30,15:44:00.0,44,Sleep Movement
2023-11-30,15:45:00.0,45,Sleep Movement
2023-11-30,15:46:00.0,46,Sleep Movement
2023-11-30,15:47:00.0,47,Sleep Movement
2023-11-30,15:48:00.0,48,Sleep Movement
2023-11-30,15:49:00.0,49,Sleep Movement
2023-11-30,15:50:00.0,50,Sleep Movement
2023-11-30,15:51:00.0,51,Sleep Movement
2023-11-30,15:52:00.0,52,Sleep Movement
2023-11-30,15:53:00.0,53,Sleep Movement
2023-11-30,15:54:00.0,54,Sleep Movement
2023-11-30,15:55:00.0,55,Sleep Movement
2023-11-30,15:56:00.0,56,Sleep Movement
2023-11-30,15:57:00.0,57,Sleep Movement
2023-11-30,15:58:00.0,58,Sleep Movement
2023-11-30,15:59:00.0,59,Sleep Movement
2023-11-30,16:00:00.0,00,Sleep Movement
2023-11-30,16:01:00.0,01,Sleep Movement
2023-11-30,16:02:00.0,02,Sleep Movement
2023-11-30,16:03:00.0,03,Sleep Movement
2023-11-30,16:04:00.0,04,Sleep Movement
2023-11-30,16:05:00.0,05,Sleep Movement
2023-11-30,16:06:00.0,06,Sleep Movement
2023-11-30,16:07:00.0,07,Sleep Movement
2023-11-30,16:08:00.0,08,Sleep Movement
2023-11-30,16:09:00.0,09,Sleep Movement
2023-11-30,16:10:00.0,10,Sleep Movement
2023-11-30,16:11:00.0,11,Sleep Movement
2023-11-30,16:12:00.0,12,Sleep Movement
2023-11-30,16:13:00.0,13,Sleep Movement
2023-11-30,16:14:00.0,14,Sleep Movement
2023-11-30,16:15:00.0,15,Sleep Movement
2023-11-30,16:16:00.0,16,Sleep Movement
2023-11-30,16:17:00.0,17,Sleep Movement
2023-11-30,16:18:00.0,18,Sleep Movement
2023-11-30,16:19:00.0,19,Sleep Movement
2023-11-30,16:20:00.0,20,Sleep Movement
2023-11-30,16:21:00.0,21,Sleep Movement
2023-11-30,16:22:00.0,22,Sleep Movement
2023-11-30,16:23:00.0,23,Sleep Movement
2023-11-30,16:24:00.0,24,Sleep Movement
2023-11-30,16:25:00.0,25,Sleep Movement
2023-11-30,16:26:00.0,26,Sleep Movement
2023-11-30,16:27:00.0,27,Sleep Movement
2023-11-30,16:28:00.0,28,Sleep Movement
2023-11-30,16:29:00.0,29,Sleep Movement
2023-11-30,16:30:00.0,30,Sleep Movement
2023-11-30,16:31:00.0,31,Sleep Movement
2023-11-30,16:32:00.0,32,Sleep Movement
2023-11-30,16:33:00.0,33,Sleep Movement
2023-11-30,16:34:00.0,34,Sleep Movement
2023-11-30,16:35:00.0,35,Sleep Movement
2023-11-30,16:36:00.0,36,Sleep Movement
